R1ID,ID,Dist,Gen
0,4224,0,0
1,4225,0,0
2,4226,0,0
3,4227,0,0
4,4228,0,0
5,4421,0,0
6,4422,0,0
7,4423,0,0
8,4424,0,0
9,4617,0,0
10,4618,0,0
11,4619,0,0
12,4620,0,0
13,4813,0,0
14,4814,0,0
15,4815,0,0
16,5008,0,0
17,5009,0,0
18,5010,0,0
19,5011,0,0
20,5204,0,0
21,5205,0,0
22,5206,0,0
23,5399,0,0
24,5400,0,0
25,5401,0,0
26,5402,0,0
27,5403,0,0
28,5404,0,0
29,5405,0,0
30,5406,0,0
31,5407,0,0
32,5408,0,0
33,5409,0,0
34,5410,0,0
35,5411,0,0
36,5412,0,0
37,5413,0,0
38,5414,0,0
39,5415,0,0
40,5416,0,0
41,5417,0,0
42,5418,0,0
43,5227,0,0
44,5228,0,0
45,5229,0,0
46,5230,0,0
47,5231,0,0
48,5232,0,0
49,5233,0,0
50,5234,0,0
51,5235,0,0
52,5236,0,0
53,5237,0,0
54,5238,0,0
55,5239,0,0
56,5240,0,0
57,5241,0,0
58,5242,0,0
59,5243,0,0
60,5244,0,0
61,5245,0,0
62,5438,0,0
63,5439,0,0
64,5440,0,0
65,5441,0,0
66,5442,0,0
67,5635,0,0
68,5636,0,0
69,5637,0,0
70,5830,0,0
71,5831,0,0
72,5832,0,0
73,5833,0,0
74,6026,0,0
75,6027,0,0
76,6220,0,0
77,6221,0,0
78,6414,0,0
79,6415,0,0
80,6608,0,0
81,6801,0,0
82,6802,0,0
83,6995,0,0
84,6996,0,0
85,7189,0,0
86,7382,0,0
87,7575,0,0
88,7768,0,0
89,7961,0,0
90,8154,0,0
91,8347,0,0
92,8540,0,0
93,8733,0,0
94,8926,0,0
95,9119,0,0
96,9120,0,0
97,9313,0,0
98,9506,0,0
99,9507,0,0
100,9700,0,0
101,9893,0,0
102,10086,0,0
103,10087,0,0
104,10280,0,0
105,10281,0,0
106,10282,0,0
107,10475,0,0
108,10476,0,0
109,10477,0,0
110,10670,0,0
111,10671,0,0
112,10864,0,0
113,10865,0,0
114,10866,0,0
115,11059,0,0
116,11060,0,0
117,11061,0,0
118,11254,0,0
119,11255,0,0
120,11448,0,0
121,11449,0,0
122,11450,0,0
123,11643,0,0
124,11644,0,0
125,11645,0,0
126,11838,0,0
127,11839,0,0
128,12032,0,0
129,12033,0,0
130,12034,0,0
131,12227,0,0
132,12228,0,0
133,12229,0,0
134,12422,0,0
135,12423,0,0
136,12424,0,0
137,12617,0,0
138,12618,0,0
139,12619,0,0
140,12812,0,0
141,12813,0,0
142,12814,0,0
143,13007,0,0
144,13008,0,0
145,13009,0,0
146,13202,0,0
147,13203,0,0
148,13204,0,0
149,13397,0,0
150,13398,0,0
151,13399,0,0
152,13592,0,0
153,13593,0,0
154,13594,0,0
155,13787,0,0
156,13788,0,0
157,13789,0,0
158,13790,0,0
159,13983,0,0
160,13984,0,0
161,13985,0,0
162,13986,0,0
163,14179,0,0
164,14180,0,0
165,14181,0,0
166,14182,0,0
167,14375,0,0
168,14376,0,0
169,14377,0,0
170,14378,0,0
171,14571,0,0
172,14572,0,0
173,14573,0,0
174,14574,0,0
175,14767,0,0
176,14768,0,0
177,14769,0,0
178,14770,0,0
179,14963,0,0
180,14964,0,0
181,14965,0,0
182,14966,0,0
183,14967,0,0
184,14968,0,0
185,14969,0,0
186,14970,0,0
187,14971,0,0
188,14972,0,0
189,14973,0,0
190,14974,0,0
191,14975,0,0
192,4032,1,1
193,4033,1,1
194,4034,1,1
195,4035,1,1
196,4036,1,1
197,4229,1,1
198,4230,1,1
199,4231,1,1
200,4232,1,1
201,4425,1,1
202,4426,1,1
203,4427,1,1
204,4428,1,1
205,4621,2,1
206,4622,1,1
207,4623,1,1
208,4816,1,1
209,4817,1,1
210,4818,1,1
211,4819,1,1
212,5012,1,1
213,5013,1,1
214,5014,1,1
215,5207,2,1
216,5208,2,1
217,5209,2,1
218,5210,1,1
219,5211,1,1
220,5212,1,1
221,5213,1,1
222,5214,1,1
223,5215,1,1
224,5216,1,1
225,5217,1,1
226,5218,1,1
227,5219,1,1
228,5220,1,1
229,5221,1,1
230,5222,1,1
231,5223,1,1
232,5224,1,1
233,5225,1,1
234,5226,1,1
235,5035,1,1
236,5036,1,1
237,5037,1,1
238,5038,1,1
239,5039,1,1
240,5040,1,1
241,5041,1,1
242,5042,1,1
243,5043,1,1
244,5044,1,1
245,5045,1,1
246,5046,1,1
247,5047,1,1
248,5048,1,1
249,5049,1,1
250,5050,1,1
251,5051,1,1
252,5052,1,1
253,5053,1,1
254,5246,1,1
255,5247,1,1
256,5248,1,1
257,5249,1,1
258,5250,1,1
259,5443,1,1
260,5444,1,1
261,5445,1,1
262,5638,1,1
263,5639,1,1
264,5640,1,1
265,5641,1,1
266,5834,1,1
267,5835,1,1
268,6028,1,1
269,6029,1,1
270,6222,1,1
271,6223,1,1
272,6416,2,1
273,6609,1,1
274,6610,1,1
275,6803,1,1
276,6804,1,1
277,6997,2,1
278,7190,1,1
279,7383,1,1
280,7576,2,1
281,7769,1,1
282,7962,1,1
283,8155,2,1
284,8348,1,1
285,8541,1,1
286,8734,2,1
287,8927,1,1
288,8928,1,1
289,9121,1,1
290,9314,1,1
291,9315,2,1
292,9508,1,1
293,9701,1,1
294,9894,1,1
295,9895,1,1
296,10088,1,1
297,10089,1,1
298,10090,1,1
299,10283,1,1
300,10284,1,1
301,10285,1,1
302,10478,1,1
303,10479,1,1
304,10672,1,1
305,10673,1,1
306,10674,1,1
307,10867,1,1
308,10868,1,1
309,10869,1,1
310,11062,1,1
311,11063,1,1
312,11256,1,1
313,11257,1,1
314,11258,1,1
315,11451,1,1
316,11452,1,1
317,11453,1,1
318,11646,1,1
319,11647,1,1
320,11840,1,1
321,11841,1,1
322,11842,1,1
323,12035,1,1
324,12036,1,1
325,12037,1,1
326,12230,2,1
327,12231,1,1
328,12232,1,1
329,12425,1,1
330,12426,1,1
331,12427,1,1
332,12620,1,1
333,12621,1,1
334,12622,1,1
335,12815,2,1
336,12816,2,1
337,12817,2,1
338,13010,1,1
339,13011,1,1
340,13012,1,1
341,13205,1,1
342,13206,1,1
343,13207,1,1
344,13400,3,1
345,13401,3,1
346,13402,3,1
347,13595,1,1
348,13596,1,1
349,13597,1,1
350,13598,1,1
351,13791,1,1
352,13792,1,1
353,13793,1,1
354,13794,1,1
355,13987,4,1
356,13988,4,1
357,13989,3,1
358,13990,3,1
359,14183,1,1
360,14184,1,1
361,14185,1,1
362,14186,1,1
363,14379,1,1
364,14380,1,1
365,14381,1,1
366,14382,1,1
367,14575,4,1
368,14576,4,1
369,14577,3,1
370,14578,3,1
371,14771,1,1
372,14772,1,1
373,14773,1,1
374,14774,1,1
375,14775,1,1
376,14776,1,1
377,14777,1,1
378,14778,1,1
379,14779,1,1
380,14780,1,1
381,14781,1,1
382,14782,1,1
383,14783,1,1
384,3840,2,2
385,3841,2,2
386,3842,2,2
387,3843,2,2
388,3844,2,2
389,4037,2,2
390,4038,2,2
391,4039,2,2
392,4040,3,2
393,4233,2,2
394,4234,2,2
395,4235,2,2
396,4236,2,2
397,4429,3,2
398,4430,2,2
399,4431,2,2
400,4624,2,2
401,4625,2,2
402,4626,2,2
403,4627,2,2
404,4820,2,2
405,4821,2,2
406,4822,2,2
407,5015,3,2
408,5016,3,2
409,5017,3,2
410,5018,2,2
411,5019,2,2
412,5020,2,2
413,5021,2,2
414,5022,2,2
415,5023,2,2
416,5024,2,2
417,5025,2,2
418,5026,2,2
419,5027,2,2
420,5028,2,2
421,5029,2,2
422,5030,2,2
423,5031,2,2
424,5032,2,2
425,5033,2,2
426,5034,2,2
427,4843,2,2
428,4844,2,2
429,4845,2,2
430,4846,2,2
431,4847,2,2
432,4848,2,2
433,4849,2,2
434,4850,2,2
435,4851,2,2
436,4852,2,2
437,4853,2,2
438,4854,2,2
439,4855,2,2
440,4856,2,2
441,4857,2,2
442,4858,2,2
443,4859,2,2
444,4860,2,2
445,4861,2,2
446,5054,2,2
447,5055,2,2
448,5056,2,2
449,5057,2,2
450,5058,2,2
451,5251,2,2
452,5252,3,2
453,5253,3,2
454,5446,2,2
455,5447,2,2
456,5448,2,2
457,5449,2,2
458,5642,2,2
459,5643,2,2
460,5836,2,2
461,5837,3,2
462,6030,2,2
463,6031,2,2
464,6224,3,2
465,6417,3,2
466,6418,3,2
467,6611,2,2
468,6612,2,2
469,6805,3,2
470,6998,4,2
471,7191,2,2
472,7384,3,2
473,7577,3,2
474,7770,2,2
475,7963,3,2
476,8156,3,2
477,8349,2,2
478,8542,3,2
479,8735,3,2
480,8736,3,2
481,8929,2,2
482,9122,2,2
483,9123,3,2
484,9316,3,2
485,9509,2,2
486,9702,2,2
487,9703,2,2
488,9896,2,2
489,9897,3,2
490,9898,3,2
491,10091,2,2
492,10092,2,2
493,10093,2,2
494,10286,2,2
495,10287,2,2
496,10480,2,2
497,10481,2,2
498,10482,3,2
499,10675,2,2
500,10676,2,2
501,10677,2,2
502,10870,2,2
503,10871,2,2
504,11064,2,2
505,11065,2,2
506,11066,2,2
507,11259,2,2
508,11260,2,2
509,11261,2,2
510,11454,2,2
511,11455,2,2
512,11648,2,2
513,11649,3,2
514,11650,3,2
515,11843,2,2
516,11844,2,2
517,11845,2,2
518,12038,3,2
519,12039,2,2
520,12040,2,2
521,12233,2,2
522,12234,2,2
523,12235,2,2
524,12428,2,2
525,12429,2,2
526,12430,2,2
527,12623,3,2
528,12624,3,2
529,12625,3,2
530,12818,3,2
531,12819,2,2
532,12820,2,2
533,13013,2,2
534,13014,2,2
535,13015,2,2
536,13208,4,2
537,13209,4,2
538,13210,4,2
539,13403,4,2
540,13404,3,2
541,13405,3,2
542,13406,3,2
543,13599,2,2
544,13600,2,2
545,13601,2,2
546,13602,2,2
547,13795,5,2
548,13796,5,2
549,13797,4,2
550,13798,4,2
551,13991,4,2
552,13992,3,2
553,13993,3,2
554,13994,3,2
555,14187,2,2
556,14188,2,2
557,14189,2,2
558,14190,2,2
559,14383,5,2
560,14384,5,2
561,14385,4,2
562,14386,4,2
563,14579,4,2
564,14580,3,2
565,14581,3,2
566,14582,3,2
567,14583,3,2
568,14584,3,2
569,14585,3,2
570,14586,2,2
571,14587,2,2
572,14588,2,2
573,14589,2,2
574,14590,2,2
575,14591,2,2
