R4ID,ID,Dist,Ranitas+AF8-C4M,C4M
288,19537,1,0,0
289,19536,1,0,0
290,19535,1,0,0
291,19534,1,0,0
292,19533,1,0,0
293,19339,1,0,0
294,19532,1,0,0
295,19531,1,0,0
296,19723,1,0,0
297,19915,1,0,0
298,20106,2,0,0
299,20298,2,0,0
300,20490,2,0,0
301,20681,2,0,0
302,20873,1,0,0
303,21064,1,0,0
304,21255,2,0,0
305,21446,1,0,0
306,21637,1,0,0
307,21828,2,0,0
308,22019,1,0,0
309,22210,1,0,0
310,22401,2,0,0
311,22592,1,0,0
312,22783,1,0,0
313,22974,2,0,0
314,23165,1,0,0
315,23356,1,0,0
316,23547,2,0,0
317,23738,1,0,0
318,23929,1,0,0
319,24120,2,0,0
320,24311,1,0,0
321,24502,1,0,0
322,24693,2,0,0
323,24884,1,0,0
324,25075,1,0,0
325,25266,3,0,0
326,25457,1,0,0
327,25648,1,0,0
328,25647,1,0,0
329,25839,1,0,0
330,26030,1,0,0
331,26029,1,0,0
332,26220,1,0,0
333,26411,1,0,0
334,26603,1,0,0
335,26794,1,0,0
336,26793,1,0,0
337,26985,2,0,0
338,27177,2,0,0
339,27368,1,0,0
340,27560,1,0,0
341,27752,1,0,0
342,27943,1,0,0
343,28135,1,0,0
344,28327,1,0,0
345,28518,1,0,0
346,28710,2,0,0
347,28902,2,0,0
348,29093,1,0,0
349,29285,1,0,0
350,29477,1,0,0
351,29668,1,0,0
352,29859,2,0,0
353,30050,1,0,0
354,30241,1,0,0
355,30432,2,0,0
356,30623,1,0,0
357,30622,1,0,0
358,30813,1,0,0
359,31004,2,0,0
360,31003,1,0,0
361,31194,1,0,0
362,31193,1,0,0
363,31192,1,0,0
364,31191,1,0,0
365,31190,1,0,0
366,31189,1,0,0
367,31380,1,0,0
368,31379,1,0,0
369,31378,1,0,0
370,31377,1,0,0
371,31376,1,0,0
372,31182,1,0,0
373,31375,1,0,0
374,31181,1,0,0
375,31180,1,0,0
376,30986,3,0,0
377,31179,1,0,0
378,30985,3,0,0
379,30791,1,0,0
380,30984,3,0,0
