R3ID,ID,Dist
0,10944,0
1,10945,0
2,11138,0
3,11139,0
4,11140,0
5,11333,0
6,11334,0
7,11527,0
8,11528,0
9,11721,0
10,11722,0
11,11915,0
12,11916,0
13,12109,0
14,12110,0
15,12111,0
16,12304,0
17,12305,0
18,12498,0
19,12499,0
20,12692,0
21,12693,0
22,12886,0
23,12887,0
24,12888,0
25,13081,0
26,13274,0
27,13275,0
28,13276,0
29,13469,0
30,13470,0
31,13663,0
32,13664,0
33,13857,0
34,13858,0
35,14051,0
36,14052,0
37,14245,0
38,14246,0
39,14439,0
40,14440,0
41,14441,0
42,14634,0
43,14635,0
44,14636,0
45,14637,0
46,14830,0
47,14831,0
48,14832,0
49,15025,0
50,15026,0
51,15027,0
52,15220,0
53,15221,0
54,15222,0
55,15415,0
56,15416,0
57,15417,0
58,15610,0
59,15611,0
60,15612,0
61,15805,0
62,15806,0
63,15807,0
64,15808,0
65,15809,0
66,16002,0
67,16003,0
68,16004,0
69,16005,0
70,16198,0
71,16199,0
72,16200,0
73,16201,0
74,16394,0
75,16395,0
76,16396,0
77,16589,0
78,16590,0
79,16783,0
80,16784,0
81,16785,0
82,16978,0
83,16979,0
84,17172,0
85,17173,0
86,17366,0
87,17367,0
88,17368,0
89,17561,0
90,17562,0
91,17755,0
92,17756,0
93,17757,0
94,17950,0
95,17951,0
96,18144,0
97,18145,0
98,18146,0
99,18339,0
100,18340,0
101,18341,0
102,18534,0
103,18535,0
104,18536,0
105,18729,0
106,18730,0
107,18731,0
108,18732,0
109,18733,0
110,18734,0
111,18735,0
112,18736,0
113,18929,0
114,18930,0
115,18931,0
116,18932,0
117,18933,0
118,18934,0
119,18935,0
120,18936,0
121,19129,0
122,19130,0
123,19131,0
124,19132,0
125,19133,0
126,19134,0
127,19135,0
128,19136,0
129,19137,0
130,19138,0
131,19139,0
132,19140,0
133,19141,0
134,19142,0
135,19143,0
136,19144,0
137,19145,0
138,19338,0
139,19530,0
140,19722,0
141,19913,0
142,20105,0
143,20297,0
144,20488,0
145,20680,0
146,20871,0
147,21062,0
148,21253,0
149,21444,0
150,21635,0
151,21826,0
152,22017,0
153,22208,0
154,22399,0
155,22590,0
156,22781,0
157,22972,0
158,23163,0
159,23354,0
160,23545,0
161,23736,0
162,23927,0
163,24118,0
164,24309,0
165,24500,0
166,24691,0
167,24882,0
168,25073,0
169,25264,0
170,25455,0
171,25646,0
172,25837,0
173,26028,0
174,26219,0
175,26410,0
176,26601,0
177,26792,0
178,26984,0
179,27175,0
180,27367,0
181,27559,0
182,27750,0
183,27942,0
184,28134,0
185,28325,0
186,28517,0
187,28709,0
188,28900,0
189,29092,0
190,29284,0
191,29475,0
192,29666,0
193,29857,0
194,30048,0
195,30239,0
196,30430,0
197,30621,0
198,30620,0
199,30811,0
200,30810,0
201,31001,0
202,31000,0
203,30999,0
204,30998,0
205,30997,0
206,30996,0
207,31187,0
208,31186,0
209,31185,0
210,31184,0
211,30991,0
212,30990,0
213,30989,0
214,30988,0
215,30795,0
216,30794,0
217,30793,0
218,30792,0
219,30599,0
220,30598,0
221,30597,0
222,30404,0
223,30403,0
224,30402,0
225,30401,0
226,30208,0
227,30207,0
228,30014,0
229,29821,0
230,29820,0
231,29627,0
232,29434,0
233,29241,0
234,29048,0
235,28855,0
236,28662,0
237,28661,0
238,28468,0
239,28467,0
240,28274,0
241,28273,0
242,28080,0
243,28079,0
244,28078,0
245,27885,0
246,27884,0
247,27691,0
248,27690,0
249,27497,0
250,27496,0
251,27495,0
252,27302,0
253,27301,0
254,27300,0
255,27299,0
256,27298,0
257,27105,0
258,27104,0
259,27103,0
260,27102,0
261,27101,0
262,27100,0
263,27099,0
264,26906,0
265,26905,0
266,26904,0
267,26903,0
268,26902,0
269,26901,0
270,26900,0
271,26899,0
272,26898,0
273,26705,0
274,26704,0
275,26703,0
276,26702,0
277,26701,0
278,26700,0
279,26699,0
280,26698,0
281,26505,0
282,26504,0
283,26503,0
284,26502,0
285,26501,0
286,26500,0
287,26499,0
288,26498,0
289,26305,0
290,26304,0
291,11136,1
292,11137,1
293,11330,1
294,11331,1
295,11332,1
296,11525,1
297,11526,1
298,11719,1
299,11720,1
300,11913,1
301,11914,1
302,12107,1
303,12108,1
304,12301,1
305,12302,1
306,12303,1
307,12496,1
308,12497,1
309,12690,1
310,12691,1
311,12884,1
312,12885,1
313,13078,1
314,13079,1
315,13080,1
316,13273,1
317,13466,1
318,13467,1
319,13468,1
320,13661,1
321,13662,1
322,13855,1
323,13856,1
324,14049,2
325,14050,2
326,14243,1
327,14244,1
328,14437,1
329,14438,1
330,14631,2
331,14632,2
332,14633,1
333,14826,1
334,14827,1
335,14828,1
336,14829,1
337,15022,1
338,15023,1
339,15024,1
340,15217,2
341,15218,2
342,15219,2
343,15412,1
344,15413,1
345,15414,1
346,15607,1
347,15608,1
348,15609,1
349,15802,1
350,15803,1
351,15804,1
352,15997,1
353,15998,1
354,15999,1
355,16000,1
356,16001,1
357,16194,1
358,16195,1
359,16196,1
360,16197,1
361,16390,2
362,16391,2
363,16392,2
364,16393,2
365,16586,1
366,16587,1
367,16588,1
368,16781,1
369,16782,1
370,16975,2
371,16976,1
372,16977,1
373,17170,1
374,17171,1
375,17364,1
376,17365,1
377,17558,1
378,17559,1
379,17560,1
380,17753,1
381,17754,1
382,17947,1
383,17948,1
384,17949,1
385,18142,1
386,18143,1
387,18336,1
388,18337,1
389,18338,1
390,18531,1
391,18532,1
392,18533,1
393,18726,1
394,18727,1
395,18728,1
396,18921,1
397,18922,1
398,18923,1
399,18924,1
400,18925,1
401,18926,1
402,18927,1
403,18928,1
404,19121,1
405,19122,1
406,19123,1
407,19124,1
408,19125,1
409,19126,1
410,19127,1
411,19128,1
412,19321,1
413,19322,1
414,19323,1
415,19324,1
416,19325,1
417,19326,1
418,19327,1
419,19328,1
420,19329,1
421,19330,1
422,19331,1
423,19332,1
424,19333,1
425,19334,1
